epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4000.46,0.57709,0.37651,0.89033,0.96196,0.98549,0.98595,0.89386,0.45596,0.25756,0.77271,0.00104231,0.00104231,0.00104231
43,4096.26,0.57454,0.37352,0.88905,0.95155,0.98305,0.98693,0.89771,0.44642,0.28247,0.77413,0.00103288,0.00103288,0.00103288
44,4192.84,0.57233,0.37287,0.89075,0.96286,0.99153,0.98878,0.90307,0.45385,0.27634,0.77224,0.00102345,0.00102345,0.00102345
45,4290.87,0.57405,0.37727,0.88977,0.97205,0.97741,0.9879,0.89562,0.45815,0.26212,0.77681,0.00101402,0.00101402,0.00101402
46,4385.96,0.57688,0.38075,0.89123,0.97199,0.99144,0.99062,0.90391,0.47299,0.27607,0.78381,0.00100459,0.00100459,0.00100459
47,4481.77,0.57416,0.37203,0.88941,0.9591,0.99,0.98846,0.89557,0.46551,0.26201,0.77868,0.000995156,0.000995156,0.000995156
48,4579.86,0.5686,0.36639,0.8876,0.97062,0.97418,0.98779,0.90421,0.44347,0.25689,0.77147,0.000985724,0.000985724,0.000985724
49,4674.07,0.57751,0.37611,0.89162,0.96317,0.98681,0.99015,0.89722,0.45264,0.26223,0.77189,0.000976293,0.000976293,0.000976293
50,4766.57,0.56967,0.3782,0.88736,0.95017,0.98859,0.98974,0.89312,0.4618,0.27931,0.77683,0.000966861,0.000966861,0.000966861
51,4862.76,0.56113,0.36779,0.88768,0.97101,0.99023,0.99041,0.90547,0.44555,0.25159,0.76762,0.00095743,0.00095743,0.00095743
52,4960.35,0.56751,0.36653,0.88696,0.96504,0.98901,0.98688,0.89747,0.44156,0.25045,0.76888,0.000947999,0.000947999,0.000947999
53,5055.85,0.56755,0.36944,0.88501,0.96945,0.98099,0.98886,0.89921,0.44553,0.25107,0.76678,0.000938567,0.000938567,0.000938567
54,5149.3,0.56189,0.364,0.88599,0.96688,0.99049,0.99099,0.90502,0.44842,0.24887,0.76991,0.000929136,0.000929136,0.000929136
55,5243.4,0.55785,0.36331,0.88576,0.97209,0.98854,0.98725,0.90208,0.44665,0.25878,0.77098,0.000919704,0.000919704,0.000919704
56,5336.53,0.56467,0.36539,0.88797,0.97279,0.99084,0.98825,0.90095,0.43781,0.25421,0.77039,0.000910273,0.000910273,0.000910273
57,5430.72,0.55877,0.36962,0.88472,0.96161,0.98593,0.98803,0.90234,0.44266,0.25071,0.76891,0.000900842,0.000900842,0.000900842
58,5526.93,0.55971,0.3671,0.88598,0.97343,0.98217,0.98809,0.90003,0.45419,0.26882,0.77609,0.00089141,0.00089141,0.00089141
59,5620.59,0.55514,0.36267,0.88455,0.9689,0.98886,0.98892,0.90032,0.44012,0.25687,0.77161,0.000881979,0.000881979,0.000881979
60,5714.42,0.55646,0.36114,0.88603,0.97083,0.97537,0.98846,0.90167,0.44622,0.27913,0.77127,0.000872547,0.000872547,0.000872547
61,5808.96,0.55635,0.36158,0.886,0.96779,0.98534,0.99046,0.90408,0.4448,0.26254,0.77074,0.000863116,0.000863116,0.000863116
62,5901.99,0.55169,0.35774,0.8775,0.96696,0.9857,0.99049,0.90048,0.44961,0.2565,0.77456,0.000853685,0.000853685,0.000853685
63,5994.83,0.55446,0.3572,0.8845,0.95187,0.98675,0.99015,0.9,0.44692,0.27784,0.77707,0.000844253,0.000844253,0.000844253
64,6088.46,0.54833,0.354,0.88133,0.97477,0.9765,0.989,0.90587,0.44014,0.26317,0.77183,0.000834822,0.000834822,0.000834822
65,6189.4,0.54992,0.35792,0.88445,0.96527,0.98313,0.99029,0.90359,0.44958,0.27385,0.77353,0.00082539,0.00082539,0.00082539
66,6284.9,0.54757,0.34903,0.87997,0.96693,0.98664,0.98876,0.90128,0.44304,0.25812,0.77093,0.000815959,0.000815959,0.000815959
67,6379.1,0.54746,0.34964,0.88109,0.97448,0.97933,0.99002,0.91066,0.4407,0.25622,0.7711,0.000806528,0.000806528,0.000806528
68,6471.71,0.54506,0.35008,0.87599,0.96722,0.98535,0.98973,0.90457,0.44877,0.2489,0.77405,0.000797096,0.000797096,0.000797096
69,6565.31,0.54772,0.34978,0.87775,0.9634,0.98371,0.98916,0.90548,0.43671,0.26393,0.76926,0.000787665,0.000787665,0.000787665
70,6658.24,0.53389,0.34391,0.87711,0.96393,0.98463,0.98988,0.90845,0.44157,0.24864,0.76803,0.000778233,0.000778233,0.000778233
71,6751.97,0.54257,0.35026,0.87882,0.96531,0.98822,0.99039,0.90844,0.44056,0.25332,0.76796,0.000768802,0.000768802,0.000768802
72,6844.05,0.53579,0.34487,0.87444,0.9686,0.98198,0.98784,0.90569,0.44214,0.25199,0.769,0.000759371,0.000759371,0.000759371
73,6937.13,0.53791,0.34319,0.87915,0.97223,0.98467,0.98804,0.90374,0.43935,0.24866,0.76761,0.000749939,0.000749939,0.000749939
74,7029.94,0.53527,0.34222,0.8749,0.97408,0.98175,0.98976,0.90562,0.43951,0.25393,0.76934,0.000740508,0.000740508,0.000740508
75,7123.97,0.53347,0.34281,0.87723,0.96154,0.9894,0.98813,0.90542,0.4372,0.26874,0.76575,0.000731076,0.000731076,0.000731076
76,7217.47,0.5321,0.34562,0.87478,0.96689,0.98969,0.98951,0.90879,0.43671,0.24415,0.76775,0.000721645,0.000721645,0.000721645
77,7314.22,0.53465,0.34325,0.87584,0.96649,0.99025,0.98905,0.90891,0.43405,0.25328,0.76554,0.000712214,0.000712214,0.000712214
78,7408.31,0.53115,0.34008,0.87652,0.96828,0.98655,0.98758,0.90762,0.42759,0.25689,0.76478,0.000702782,0.000702782,0.000702782
79,7503.13,0.53807,0.34357,0.87908,0.96865,0.97966,0.98695,0.90844,0.42899,0.24964,0.76674,0.000693351,0.000693351,0.000693351
80,7596.91,0.53042,0.33518,0.87499,0.96282,0.98824,0.98862,0.90621,0.43981,0.24701,0.76906,0.000683919,0.000683919,0.000683919
